PlayerName,PlayerType,Difficulty,Result,DefeatedMonsters,PointsEarned
Domas,Warrior,Easy,Win,Goblin;Skeleton;Slime,0
BLS,Archer,Medium,Loss,Orc;Spider,0
Domas,Warrior,Easy,Loss,None,0
Domas,Warrior,Easy,Win,Goblin;Skeleton;Slime,67
Domas,Warrior,Easy,Loss,None,0
PlayerName,PlayerType,Difficulty,Result,DefeatedMonsters,PointsEarned
Domas,Warrior,Easy,Win,Goblin;Skeleton;Slime,107
